Patient Cost (5-AVG);;;;;;AED Cost (5-AVG);;;;;
Proximity;Path;Diff.;%;;;Proximity;Path;Diff.;%;;
89,20;79,40;9,80;11,0%;;;197,20;152,00;45,20;22,9%;;
102,80;91,60;11,20;10,9%;;;104,80;80,80;24,00;22,9%;;
77,60;69,20;8,40;10,8%;;;219,60;169,40;50,20;22,9%;;
92,40;82,40;10,00;10,8%;;;237,20;183,00;54,20;22,8%;;
42,80;38,20;4,60;10,7%;;;171,40;132,60;38,80;22,6%;;
111,80;100,00;11,80;10,6%;;;300,40;232,40;68,00;22,6%;;
130,80;117,00;13,80;10,6%;;;314,00;243,00;71,00;22,6%;;
130,80;117,00;13,80;10,6%;;;183,20;141,80;41,40;22,6%;;
85,60;76,60;9,00;10,5%;;;155,00;120,00;35,00;22,6%;;
115,40;103,40;12,00;10,4%;;;134,20;104,00;30,20;22,5%;;
115,40;103,40;12,00;10,4%;;;134,20;104,00;30,20;22,5%;;
83,40;74,80;8,60;10,3%;;;128,20;99,40;28,80;22,5%;;
42,80;38,40;4,40;10,3%;;;323,20;250,60;72,60;22,5%;;
89,80;80,60;9,20;10,2%;;;647,40;502,00;145,40;22,5%;;
164,20;147,60;16,60;10,1%;;;222,00;172,40;49,60;22,3%;;
73,80;66,40;7,40;10,0%;;;259,60;201,60;58,00;22,3%;;
300,60;270,80;29,80;9,9%;;;140,60;109,20;31,40;22,3%;;
97,40;87,80;9,60;9,9%;;;363,00;282,20;80,80;22,3%;;
95,80;86,40;9,40;9,8%;;;202,40;157,40;45,00;22,2%;;
95,20;86,00;9,20;9,7%;;;533,40;415,00;118,40;22,2%;;
80,80;73,00;7,80;9,7%;;;363,40;283,60;79,80;22,0%;;
39,40;35,60;3,80;9,6%;;;308,40;240,80;67,60;21,9%;;
402,00;363,80;38,20;9,5%;;;139,80;109,20;30,60;21,9%;;
123,40;111,80;11,60;9,4%;;;157,40;123,00;34,40;21,9%;;
73,20;66,40;6,80;9,3%;;;299,60;234,20;65,40;21,8%;;
64,60;58,60;6,00;9,3%;;;151,20;118,20;33,00;21,8%;;
58,20;52,80;5,40;9,3%;;;284,20;222,20;62,00;21,8%;;
138,40;125,60;12,80;9,2%;;;177,00;138,40;38,60;21,8%;;
54,40;49,40;5,00;9,2%;;;161,60;126,40;35,20;21,8%;;
139,60;126,80;12,80;9,2%;;;305,40;239,00;66,40;21,7%;;
301,20;273,60;27,60;9,2%;;;214,40;167,80;46,60;21,7%;;
134,60;122,40;12,20;9,1%;;;204,60;160,40;44,20;21,6%;;
123,00;112,00;11,00;8,9%;;;471,60;369,80;101,80;21,6%;;
80,60;73,40;7,20;8,9%;;;171,00;134,20;36,80;21,5%;;
90,20;82,20;8,00;8,9%;;;360,60;283,00;77,60;21,5%;;
61,00;55,60;5,40;8,9%;;;360,60;283,00;77,60;21,5%;;
84,60;77,20;7,40;8,7%;;;205,80;161,60;44,20;21,5%;;
91,80;83,80;8,00;8,7%;;;151,60;119,40;32,20;21,2%;;
83,00;75,80;7,20;8,7%;;;222,40;175,20;47,20;21,2%;;
69,40;63,40;6,00;8,6%;;;762,20;600,80;161,40;21,2%;;
55,60;50,80;4,80;8,6%;;;237,20;187,00;50,20;21,2%;;
301,00;275,20;25,80;8,6%;;;483,20;381,00;102,20;21,2%;;
70,40;64,40;6,00;8,5%;;;467,40;369,00;98,40;21,1%;;
56,80;52,00;4,80;8,5%;;;713,20;563,20;150,00;21,0%;;
47,60;43,60;4,00;8,4%;;;256,80;202,80;54,00;21,0%;;
69,60;63,80;5,80;8,3%;;;296,00;233,80;62,20;21,0%;;
160,80;147,40;13,40;8,3%;;;245,60;194,00;51,60;21,0%;;
67,20;61,60;5,60;8,3%;;;132,00;104,40;27,60;20,9%;;
38,60;35,40;3,20;8,3%;;;194,20;153,60;40,60;20,9%;;
87,00;79,80;7,20;8,3%;;;320,00;253,20;66,80;20,9%;;
55,60;51,00;4,60;8,3%;;;266,00;210,80;55,20;20,8%;;
75,00;68,80;6,20;8,3%;;;320,20;253,80;66,40;20,7%;;
82,40;75,60;6,80;8,3%;;;265,40;210,40;55,00;20,7%;;
75,60;69,40;6,20;8,2%;;;205,60;163,00;42,60;20,7%;;
120,00;110,20;9,80;8,2%;;;105,40;83,60;21,80;20,7%;;
91,20;83,80;7,40;8,1%;;;259,20;205,60;53,60;20,7%;;
143,40;131,80;11,60;8,1%;;;1046,60;830,20;216,40;20,7%;;
69,40;63,80;5,60;8,1%;;;1046,60;830,20;216,40;20,7%;;
42,40;39,00;3,40;8,0%;;;244,80;194,20;50,60;20,7%;;
87,80;80,80;7,00;8,0%;;;259,40;205,80;53,60;20,7%;;
30,20;27,80;2,40;7,9%;;;525,00;416,60;108,40;20,6%;;
42,80;39,40;3,40;7,9%;;;155,00;123,00;32,00;20,6%;;
88,40;81,40;7,00;7,9%;;;316,00;250,80;65,20;20,6%;;
91,40;84,20;7,20;7,9%;;;410,40;325,80;84,60;20,6%;;
53,40;49,20;4,20;7,9%;;;152,40;121,00;31,40;20,6%;;
91,60;84,40;7,20;7,9%;;;200,40;159,20;41,20;20,6%;;
150,80;139,00;11,80;7,8%;;;354,00;281,60;72,40;20,5%;;
105,20;97,00;8,20;7,8%;;;206,20;164,20;42,00;20,4%;;
46,40;42,80;3,60;7,8%;;;364,40;290,20;74,20;20,4%;;
116,20;107,20;9,00;7,7%;;;296,40;236,20;60,20;20,3%;;
138,00;127,40;10,60;7,7%;;;205,40;163,80;41,60;20,3%;;
47,40;43,80;3,60;7,6%;;;304,80;243,20;61,60;20,2%;;
94,80;87,60;7,20;7,6%;;;298,20;238,00;60,20;20,2%;;
79,20;73,20;6,00;7,6%;;;237,80;189,80;48,00;20,2%;;
100,40;92,80;7,60;7,6%;;;225,00;179,60;45,40;20,2%;;
127,20;117,60;9,60;7,5%;;;288,40;230,60;57,80;20,0%;;
124,60;115,20;9,40;7,5%;;;203,60;162,80;40,80;20,0%;;
63,80;59,00;4,80;7,5%;;;219,60;175,60;44,00;20,0%;;
125,60;116,20;9,40;7,5%;;;189,80;151,80;38,00;20,0%;;
125,60;116,20;9,40;7,5%;;;280,00;224,00;56,00;20,0%;;
59,40;55,00;4,40;7,4%;;;188,20;150,60;37,60;20,0%;;
73,20;67,80;5,40;7,4%;;;173,80;139,20;34,60;19,9%;;
152,00;140,80;11,20;7,4%;;;178,00;142,60;35,40;19,9%;;
78,80;73,00;5,80;7,4%;;;287,00;230,00;57,00;19,9%;;
46,20;42,80;3,40;7,4%;;;349,80;280,40;69,40;19,8%;;
136,40;126,40;10,00;7,3%;;;93,80;75,20;18,60;19,8%;;
38,40;35,60;2,80;7,3%;;;125,40;100,60;24,80;19,8%;;
49,40;45,80;3,60;7,3%;;;275,40;221,00;54,40;19,8%;;
79,80;74,00;5,80;7,3%;;;446,20;358,20;88,00;19,7%;;
91,00;84,40;6,60;7,3%;;;214,20;172,00;42,20;19,7%;;
69,00;64,00;5,00;7,2%;;;236,60;190,20;46,40;19,6%;;
69,60;64,60;5,00;7,2%;;;282,80;227,40;55,40;19,6%;;
107,40;99,80;7,60;7,1%;;;160,00;128,80;31,20;19,5%;;
107,40;99,80;7,60;7,1%;;;247,20;199,00;48,20;19,5%;;
45,40;42,20;3,20;7,0%;;;205,60;165,60;40,00;19,5%;;
125,00;116,20;8,80;7,0%;;;268,60;216,40;52,20;19,4%;;
116,20;108,20;8,00;6,9%;;;91,60;73,80;17,80;19,4%;;
225,60;210,20;15,40;6,8%;;;195,80;157,80;38,00;19,4%;;
88,00;82,00;6,00;6,8%;;;185,60;149,60;36,00;19,4%;;
126,20;117,60;8,60;6,8%;;;374,40;301,80;72,60;19,4%;;
85,40;79,60;5,80;6,8%;;;281,00;226,60;54,40;19,4%;;
64,80;60,40;4,40;6,8%;;;340,00;274,20;65,80;19,4%;;
94,80;88,40;6,40;6,8%;;;1133,00;913,80;219,20;19,3%;;
113,40;105,80;7,60;6,7%;;;119,00;96,00;23,00;19,3%;;
44,80;41,80;3,00;6,7%;;;193,20;156,00;37,20;19,3%;;
96,20;89,80;6,40;6,7%;;;497,60;402,20;95,40;19,2%;;
105,80;98,80;7,00;6,6%;;;81,40;65,80;15,60;19,2%;;
79,00;73,80;5,20;6,6%;;;203,80;164,80;39,00;19,1%;;
85,60;80,00;5,60;6,5%;;;154,80;125,20;29,60;19,1%;;
92,20;86,20;6,00;6,5%;;;271,20;219,40;51,80;19,1%;;
107,80;100,80;7,00;6,5%;;;193,20;156,40;36,80;19,0%;;
28,00;26,20;1,80;6,4%;;;234,20;189,60;44,60;19,0%;;
59,40;55,60;3,80;6,4%;;;280,20;227,00;53,20;19,0%;;
131,40;123,00;8,40;6,4%;;;113,80;92,20;21,60;19,0%;;
113,00;105,80;7,20;6,4%;;;174,40;141,40;33,00;18,9%;;
69,20;64,80;4,40;6,4%;;;171,80;139,40;32,40;18,9%;;
170,20;159,40;10,80;6,3%;;;182,80;148,40;34,40;18,8%;;
72,80;68,20;4,60;6,3%;;;172,80;140,40;32,40;18,8%;;
41,40;38,80;2,60;6,3%;;;340,40;276,60;63,80;18,7%;;
60,80;57,00;3,80;6,2%;;;357,80;290,80;67,00;18,7%;;
